question,contexts,answer,ground_truth,retrieval_ms,generation_ms
To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,"['[GRAPH RELATIONSHIPS]', 'the Virgin Mary APPEARED_TO Saint Bernadette Soubirous', '[ENTITY DESCRIPTIONS]', 'the Virgin Mary: People, including fictional', '[GROUNDING CONTEXT]', 'Architecturally, the school has a Catholic character. Atop the Main Building\'s gold dome is a golden statue of the Virgin Mary. Immediately in front of the Main Building and facing it, is a copper statue of Christ with arms upraised with the legend ""Venite Ad Me Omnes"".', 'Next to the Main Building is the Basilica of the Sacred Heart. Immediately behind the basilica is the Grotto, a Marian place of prayer and reflection. It is a replica of the grotto at Lourdes, France where the Virgin Mary reputedly appeared to Saint Bernadette Soubirous in 1858.', 'The University of Notre Dame du Lac (or simply Notre Dame /ˌnoʊtərˈdeɪm/ NOH-tər-DAYM) is a Catholic research university located adjacent to South Bend, Indiana, in the United States. In French, Notre Dame du Lac means ""Our Lady of the Lake"" and refers to the university\'s patron saint, the Virgin Mary. The main campus covers 1,250 acres in a suburban setting and it contains a number of recognizable landmarks, such as the Golden Dome, the ""Word of Life"" mural (commonly known as Touchdown Jesus), and the Basilica.', 'The doctrines of the Assumption or Dormition of Mary relate to her death and bodily assumption to Heaven. The Roman Catholic Church has dogmaically defined the doctrine of the Assumption, which was done in 1950 by Pope Pius XII in Munificentissimus Deus. Whether the Virgin Mary died or not is not defined dogmatically, however, although a reference to the death of Mary are made in Munificentissimus Deus.', 'The adoption of the mother of Jesus as a virtual goddess may represent a reintroduction of aspects of the worship of Isis. ""When looking at images of the Egyptian goddess Isis and those of the Virgin Mary, one may initially observe iconographic similarities. These parallels have led many scholars to suggest that there is a distinct iconographic relationship between Isis and Mary.']","The Virgin Mary reputedly appeared to Saint Bernadette Soubirous in 1858 in Lourdes, France.",Saint Bernadette Soubirous,4344.685100018978,1662.2538999654353
What is in front of the Notre Dame Main Building?,"['[ENTITY DESCRIPTIONS]', 'Notre Dame Alma Mater: Companies, agencies, institutions, etc.', 'Notre Dame Cathedral: Buildings, airports, highways, bridges, etc.', 'Notre Dame School of Architecture: Companies, agencies, institutions, etc.', '[GROUNDING CONTEXT]', ""Paris is the home of the most visited art museum in the world, the Louvre, as well as the Musée d'Orsay, noted for its collection of French Impressionist art, and the Musée National d'Art Moderne, a museum of modern and contemporary art. The notable architectural landmarks of Paris include Notre Dame Cathedral (12th century); the Sainte-Chapelle (13th century); the Eiffel Tower (1889); and the Basilica of Sacré-Cœur on Montmartre (1914). In 2014 Paris received 22.4 million visitors, making it one of the world's top tourist destinations."", ""There were 72.1 million visitors to the city's museums and monuments in 2013. The city's top tourist attraction was the Notre Dame Cathedral, which welcomed 14 million visitors in 2013. The Louvre museum had more than 9.2 million visitors in 2013, making it the most visited museum in the world."", ""The centre of Paris contains the most visited monuments in the city, including the Notre Dame Cathedral and the Louvre as well as the Sainte-Chapelle; Les Invalides, where the tomb of Napoleon is located, and the Eiffel Tower are located on the Left Bank south-west of the centre. The banks of the Seine from the Pont de Sully to the Pont d'Iéna have been listed as a UNESCO World Heritage Site since 1991. Other landmarks are laid out east to west along the historic axis of Paris, which runs from the Louvre through the Tuileries Garden, the Luxor Column in the Place de la Concorde, the Arc de Triomphe, to the Grande Arche of La Défense."", 'This tradition involves the drum line of the Band of the Fighting Irish and ushers in the rest of the festivities that will continue the rest of the gameday Saturday. Later that day, the trumpet section will play the Notre Dame Victory March and the Notre Dame Alma Mater under the dome. The band entire will play a concert at the steps of Bond Hall, from where they will march into Notre Dame Stadium, leading fans and students alike across campus to the game.', 'The university is globally recognized for its Notre Dame School of Architecture, a faculty that teaches (pre-modernist) traditional and classical architecture and urban planning (e.g. following the principles of New Urbanism and New Classical Architecture). It also awards the renowned annual Driehaus Architecture Prize.']","I'm sorry, I couldn't find that in the database.",a copper statue of Christ,532.287499983795,2762.9095000447705
When did the Scholastic Magazine of Notre dame begin publishing?,"['[ENTITY DESCRIPTIONS]', 'Time Magazine: Companies, agencies, institutions, etc.', 'Scribner Magazine: Companies, agencies, institutions, etc.', 'Literary Magazine: Companies, agencies, institutions, etc.', 'State Magazine: Companies, agencies, institutions, etc.', '[GROUNDING CONTEXT]', ""The book was never published. Instead the Normans whirled off to New York. Norman published the gist of his planned travel book curiously mixed with vituperation against the Ottoman Empire in an article in June, 1896, in Scribner's Magazine."", 'WUTV is the university\'s closed-circuit television channel. The university\'s main student-run political publication is the Washington University Political Review (nicknamed ""WUPR""), a self-described ""multipartisan"" monthly magazine. Washington University undergraduates publish two literary and art journals, The Eliot Review and Spires Intercollegiate Arts and Literary Magazine.', 'The government, consisting of the monarch and the ministers, will then usually approve the proposal and the sovereign and one of the ministers signs the proposal with the addition of an enacting clause, thereafter notifying the States General that ""The King assents to the proposal."" It has happened in exceptional circumstances that the government does not approve a law that has been passed in parliament. In such a case, neither the monarch nor a minister will sign the bill, notifying the States General that ""The King will keep the proposal under advisement."" A law that has received royal assent will be published in the State Magazine, with the original being kept in the archives of the King\'s Offices.', 'No one\'s near doing what he\'s doing, it\'s not even on the same planet."" Musicians such as Paul McCartney and Prince have also commended West\'s work. Famed Tesla Motors CEO and inventor Elon Musk complimented West in a piece for Time Magazine\'s 100 most influential people list, writing that:', 'The house was razed by Beth Israel Medical Center after it received approval of a 1991 application to demolish the house and replace it with an AIDS hospice. Time Magazine was started at 141 East 17th Street.']","I'm sorry, I couldn't find that in the database.",September 1876,238.34860004717484,3574.6146999881603
The granting of Doctorate degrees first occurred in what year at Notre Dame?,"['[ENTITY DESCRIPTIONS]', 'Doctorate: Companies, agencies, institutions, etc.', 'PhDs: People, including fictional', '[GROUNDING CONTEXT]', 'The university first offered graduate degrees, in the form of a Master of Arts (MA), in the 1854–1855 academic year. The program expanded to include Master of Laws (LL.M.) and Master of Civil Engineering in its early stages of growth, before a formal graduate school education was developed with a thesis not required to receive the degrees. This changed in 1924 with formal requirements developed for graduate degrees, including offering Doctorate (PhD) degrees.', ""In Ireland the term institute of technology is the more favored synonym of a regional technical college though the latter is the legally correct term; however, Dublin Institute of Technology is a university in all but name as it can confer degrees in accordance with law, Cork Institute of Technology and another of other Institutes of Technology have delegated authority from HETAC to make awards to and including master's degree level—Level 9 of the National Framework for Qualifications (NFQ)—for all areas of study and Doctorate level in a number of others."", ""Founded as the School of Commerce and Finance in 1917, the Olin Business School was named after entrepreneur John M. Olin in 1988. The school's academic programs include BSBA, MBA, Professional MBA (PMBA), Executive MBA (EMBA), MS in Finance, MS in Supply Chain Management, MS in Customer Analytics, Master of Accounting, Global Master of Finance Dual Degree program, and Doctorate programs, as well as non-degree executive education."", '10 nationally for the number of students who go on to earn PhDs, No. 1 nationally for students who go on to dental school, No. 6 nationally for students who go on to law school, and No.', 'Several Muslim countries like Turkey and Iran exhibit high scientific publication. Some countries have tried to encourage scientific research. In Pakistan, establishment of the Higher Education Commission in 2002, resulted in a 5-fold increase in the number of PhDs and a 10-fold increase in the number of scientific research papers in 10 years with the total number of universities increasing from 115 in 2001 to over 400 in 2012.[citation needed] Saudi Arabia has established the King Abdullah University of Science and Technology.']","I'm sorry, I couldn't find that in the database.",1924,159.07850000075996,1601.0516000096686
The Lobund Institute was merged into the Department of Biology at Notre Dame in what year?,"['[GRAPH RELATIONSHIPS]', 'Lobund Institute for Animal Studies part_of Notre Dame', '[ENTITY DESCRIPTIONS]', 'Lobund Institute for Animal Studies: Companies, agencies, institutions, etc.', '[GROUNDING CONTEXT]', ""served as president from 1946 to 1952. Cavanaugh's legacy at Notre Dame in the post-war years was devoted to raising academic standards and reshaping the university administration to suit it to an enlarged educational mission and an expanded student body and stressing advanced studies and research at a time when Notre Dame quadrupled in student census, undergraduate enrollment increased by more than half, and graduate student enrollment grew fivefold. Cavanaugh also established the Lobund Institute for Animal Studies and Notre Dame's Medieval Institute."", ""As at most other universities, Notre Dame's students run a number of news media outlets. The nine student-run outlets include three newspapers, both a radio and television station, and several magazines and journals. Begun as a one-page journal in September 1876, the Scholastic magazine is issued twice monthly and claims to be the oldest continuous collegiate publication in the United States."", ""The other magazine, The Juggler, is released twice a year and focuses on student literature and artwork. The Dome yearbook is published annually. The newspapers have varying publication interests, with The Observer published daily and mainly reporting university and other news, and staffed by students from both Notre Dame and Saint Mary's College."", 'The university through the Moreau Seminary has ties to theologian Frederick Buechner. While not Catholic, Buechner has praised writers from Notre Dame and Moreau Seminary created a Buechner Prize for Preaching.', ""All of Notre Dame's undergraduate students are a part of one of the five undergraduate colleges at the school or are in the First Year of Studies program. The First Year of Studies program was established in 1962 to guide incoming freshmen in their first year at the school before they have declared a major. Each student is given an academic advisor from the program who helps them to choose classes that give them exposure to any major in which they are interested.""]","I'm sorry, I couldn't find that in the database.",1958,167.96150000300258,954.9578999867663
When did the first art gallery open in Washington state?,"['[ENTITY DESCRIPTIONS]', 'National Art Gallery: Companies, agencies, institutions, etc.', 'Seattle Art Museum: Companies, agencies, institutions, etc.', 'Art Gallery: Companies, agencies, institutions, etc.', 'National Gallery: Companies, agencies, institutions, etc.', '[GROUNDING CONTEXT]', ""The National Art Gallery in Yerevan has more than 16,000 works that date back to the Middle Ages, which indicate Armenia's rich tales and stories of the times. It houses paintings by many European masters as well. The Modern Art Museum, the Children's Picture Gallery, and the Martiros Saryan Museum are only a few of the other noteworthy collections of fine art on display in Yerevan."", 'The Plymouth City Museum and Art Gallery is operated by Plymouth City Council allowing free admission – it has six galleries. The Plymouth Athenaeum, which includes a local interest library, is a society dedicated to the promotion of learning in the fields of science, technology, literature and art. From 1961 to 2009 it also housed a theatre.', ""The Henry Art Gallery opened in 1927, the first public art museum in Washington. The Seattle Art Museum (SAM) opened in 1933; SAM opened a museum downtown in 1991 (expanded and reopened 2007); since 1991, the 1933 building has been SAM's Seattle Asian Art Museum (SAAM). SAM also operates the Olympic Sculpture Park (opened 2007) on the waterfront north of the downtown piers."", ""London contains four World Heritage Sites: the Tower of London; Kew Gardens; the site comprising the Palace of Westminster, Westminster Abbey, and St Margaret's Church; and the historic settlement of Greenwich (in which the Royal Observatory, Greenwich marks the Prime Meridian, 0° longitude, and GMT). Other famous landmarks include Buckingham Palace, the London Eye, Piccadilly Circus, St Paul's Cathedral, Tower Bridge, Trafalgar Square, and The Shard. London is home to numerous museums, galleries, libraries, sporting events and other cultural institutions, including the British Museum, National Gallery, Tate Modern, British Library and 40 West End theatres."", ""London's buildings are too diverse to be characterised by any particular architectural style, partly because of their varying ages. Many grand houses and public buildings, such as the National Gallery, are constructed from Portland stone. Some areas of the city, particularly those just west of the centre, are characterised by white stucco or whitewashed buildings.""]","The first public art museum in Washington, the Henry Art Gallery, opened in 1927.",1927,487.42289998335764,1627.9697000281885
On what type of transportation system has Seattle begun to focus?,"['[ENTITY DESCRIPTIONS]', 'Seattle Metropolitans: Companies, agencies, institutions, etc.', 'Seattle City Council: Companies, agencies, institutions, etc.', 'Rapid Transit Buses: Companies, agencies, institutions, etc.', 'World Trade Center Transportation Hub: Companies, agencies, institutions, etc.', 'Port of Seattle: Companies, agencies, institutions, etc.', '[GROUNDING CONTEXT]', 'Seattle\'s economy is driven by a mix of older industrial companies, and ""new economy"" Internet and technology companies, service, design and clean technology companies. The city\'s gross metropolitan product was $231 billion in 2010, making it the 11th largest metropolitan economy in the United States. The Port of Seattle, which also operates Seattle–Tacoma International Airport, is a major gateway for trade with Asia and cruises to Alaska, and is the 8th largest port in the United States in terms of container capacity.', ""Seattle's professional sports history began at the start of the 20th century with the PCHA's Seattle Metropolitans, which in 1917 became the first American hockey team to win the Stanley Cup. Seattle was also home to a previous Major League Baseball franchise in 1969: the Seattle Pilots. The Pilots relocated to Milwaukee, Wisconsin and became the Milwaukee Brewers for the 1970 season."", 'Nigeria in recent years has been embracing industrialisation. It currently has an indigenous vehicle manufacturing company, Innoson Motors, which manufactures Rapid Transit Buses, Trucks and SUVs with an upcoming introduction of Cars. Nigeria also has few Electronic manufacturers like Zinox, the first Branded Nigerian Computer and Electronic gadgets (like tablet PCs) manufacturers.', 'A temporary station was built and opened on November 23, 2003. A permanent station, the World Trade Center Transportation Hub, is currently under construction. The new One World Trade Center is the tallest skyscraper in the Western Hemisphere and the fourth-tallest building in the world by pinnacle height, with its spire reaching a symbolic 1,776 feet (541.3 m) in reference to the year of American independence.', 'The Seattle City Council later voted to relax height limits on buildings in the greater part of Downtown, partly with the aim to increase residential density in the city centre. As a sign of increasing inner-city growth, the downtown population crested to over 60,000 in 2009, up 77% since 1990.']","I'm sorry, I couldn't find that in the database.",mass transit,443.844800000079,856.2059000250883
What can cause your memory to deterioriate or not work as well?,"['[ENTITY DESCRIPTIONS]', 'RAM: Companies, agencies, institutions, etc.', 'Memory: Titles of books, songs, etc.', '[GROUNDING CONTEXT]', 'However, memory performance can be enhanced when material is linked to the learning context, even when learning occurs under stress. A separate study by cognitive psychologists Schwabe and Wolf shows that when retention testing is done in a context similar to or congruent with the original learning task (i.e., in the same room), memory impairment and the detrimental effects of stress on learning can be attenuated. Seventy-two healthy female and male university students, randomly assigned to the SECPT stress test or to a control group, were asked to remember the locations of 15 pairs of picture cards – a computerized version of the card game ""Concentration"" or ""Memory"".', ""RAM can be read and written to anytime the CPU commands it, but ROM is preloaded with data and software that never changes, therefore the CPU can only read from it. ROM is typically used to store the computer's initial start-up instructions. In general, the contents of RAM are erased when the power to the computer is turned off, but ROM retains its data indefinitely."", ""In a PC, the ROM contains a specialized program called the BIOS that orchestrates loading the computer's operating system from the hard disk drive into RAM whenever the computer is turned on or reset. In embedded computers, which frequently do not have disk drives, all of the required software may be stored in ROM. Software stored in ROM is often called firmware, because it is notionally more like hardware than software."", 'Flash memory blurs the distinction between ROM and RAM, as it retains its data when turned off but is also rewritable. It is typically much slower than conventional ROM and RAM however, so its use is restricted to applications where high speed is unnecessary.', ""In more sophisticated computers there may be one or more RAM cache memories, which are slower than registers but faster than main memory. Generally computers with this sort of cache are designed to move frequently needed data into the cache automatically, often without the need for any intervention on the programmer's part.""]","Based on the text, stress can cause memory impairment and have detrimental effects on learning.",Stress,257.44290003785864,1058.6241999990307
In studies what is a relationship between sleeping and learning?,"['[GRAPH RELATIONSHIPS]', 'compulsorry schooling located_in Britain', '[ENTITY DESCRIPTIONS]', 'learning sciences: Companies, agencies, institutions, etc.', 'compulsorry schooling: Companies, agencies, institutions, etc.', 'cognitive sciences: Companies, agencies, institutions, etc.', '[GROUNDING CONTEXT]', 'Educational psychology both draws from and contributes to cognitive science and the learning sciences. In universities, departments of educational psychology are usually housed within faculties of education, possibly accounting for the lack of representation of educational psychology content in introductory psychology textbooks (Lucas, Blazek, & Raley, 2006).', 'Cognitive anthropology seeks to explain patterns of shared knowledge, cultural innovation, and transmission over time and space using the methods and theories of the cognitive sciences (especially experimental psychology and evolutionary biology) often through close collaboration with historians, ethnographers, archaeologists, linguists, musicologists and other specialists engaged in the description and interpretation of cultural forms. Cognitive anthropology is concerned with what people from different groups know and how that implicit knowledge changes the way people perceive and relate to the world around them.', 'Australia also did not have significant industry until the later part of the 20th century when child labour laws, and compulsory schooling had developed under the influence of Britain. From the 1870s Child labour was restricted by compulsorry schooling.', 'C campaigns for Britain to form alongside 8 other countries ""Nine Eyes "", a global surveillance and intelligence co-operation initiative between nine member states, and uses his influence to close down the \'00\' section, believing it to be outdated.', 'American Idol was based on the British show Pop Idol created by Simon Fuller, which was in turn inspired by the New Zealand television singing competition Popstars. Television producer Nigel Lythgoe saw it in Australia and helped bring it over to Britain. Fuller was inspired by the idea from Popstars of employing a panel of judges to select singers in audition.']","I'm sorry, I couldn't find that in the database.",activation patterns in the sleeping brain that mirror those recorded during the learning of tasks from the previous day,338.9888000092469,1883.7394999573007
"In the 1990s, what type of programming changed the handling of databases?","['[ENTITY DESCRIPTIONS]', 'DBMS: Companies, agencies, institutions, etc.', 'the ""Database Task Group: Named documents made into laws.', '[GROUNDING CONTEXT]', 'As computers grew in speed and capability, a number of general-purpose database systems emerged; by the mid-1960s a number of such systems had come into commercial use. Interest in a standard began to grow, and Charles Bachman, author of one such product, the Integrated Data Store (IDS), founded the ""Database Task Group"" within CODASYL, the group responsible for the creation and standardization of COBOL. In 1971 the Database Task Group delivered their standard, which generally became known as the ""CODASYL approach"", and soon a number of commercial products based on this approach entered the market.', 'A database management system (DBMS) is a computer software application that interacts with the user, other applications, and the database itself to capture and analyze data. A general-purpose DBMS is designed to allow the definition, creation, querying, update, and administration of databases. Well-known DBMSs include MySQL, PostgreSQL, Microsoft SQL Server, Oracle, Sybase, SAP HANA, and IBM DB2.', ""A database is not generally portable across different DBMSs, but different DBMS can interoperate by using standards such as SQL and ODBC or JDBC to allow a single application to work with more than one DBMS. Database management systems are often classified according to the database model that they support; the most popular database systems since the 1980s have all supported the relational model as represented by the SQL language.[disputed – discuss] Sometimes a DBMS is loosely referred to as a 'database'."", 'Formally, a ""database"" refers to a set of related data and the way it is organized. Access to these data is usually provided by a ""database management system"" (DBMS) consisting of an integrated set of computer software that allows users to interact with one or more databases and provides access to all of the data contained in the database (although restrictions may exist that limit access to particular data). The DBMS provides various functions that allow entry, storage and retrieval of large quantities of information and provides ways to manage how that information is organized.', 'Physically, database servers are dedicated computers that hold the actual databases and run only the DBMS and related software. Database servers are usually multiprocessor computers, with generous memory and RAID disk arrays used for stable storage. RAID is used for recovery of data if any of the disks fail.']","I'm sorry, I couldn't find that in the database.",object-oriented,228.23850001441315,3611.6862999624573
