question,contexts,answer,ground_truth,retrieval_ms,generation_ms
In what city is the tollway system that includes the Bolte Bridge located?,"['Today it has an extensive network of freeways and arterial roadways used by private vehicles including freight as well as public transport systems including bus and taxis. Major highways feeding into the city include the Eastern Freeway, Monash Freeway and West Gate Freeway (which spans the large West Gate Bridge), whilst other freeways circumnavigate the city or lead to other major cities, including CityLink (which spans the large Bolte Bridge), Eastlink, the Western Ring Road, Calder Freeway, Tullamarine Freeway (main airport link) and the Hume Freeway which links Melbourne and Sydney.', 'Metro Detroit has an extensive toll-free network of freeways administered by the Michigan Department of Transportation. Four major Interstate Highways surround the city. Detroit is connected via Interstate 75 (I-75) and I-96 to Kings Highway 401 and to major Southern Ontario cities such as London, Ontario and the Greater Toronto Area.', ""I-75 (Chrysler and Fisher freeways) is the region's main north–south route, serving Flint, Pontiac, Troy, and Detroit, before continuing south (as the Detroit–Toledo and Seaway Freeways) to serve many of the communities along the shore of Lake Erie."", 'St. John\'s is the eastern terminus of the Trans-Canada Highway, one of the longest national highways in the world. The divided highway, also known as ""Outer Ring Road"" in the city, runs just outside the main part of the city, with exits to Pitts Memorial Drive, Topsail Road, Team Gushue Highway, Thorburn Road, Allandale Road, Portugal Cove Road and Torbay Road, providing relatively easy access to neighbourhoods served by those streets. Pitts Memorial Drive runs from Conception Bay South, through the city of Mount Pearl and into downtown St. John\'s, with interchanges for Goulds, Water Street and Hamilton Avenue-New Gower Street.', 'Interstate 10, which runs southeast to northwest through town, connects Tucson to Phoenix to the northwest on the way to its western terminus in Santa Monica, California, and to Las Cruces, New Mexico and El Paso, Texas toward its eastern terminus in Jacksonville, Florida. I-19 runs south from Tucson toward Nogales and the U.S.-Mexico border. I-19 is the only Interstate highway that uses ""kilometer posts"" instead of ""mileposts"", although the speed limits are marked in miles per hour instead of kilometers per hour.']",The tollway system that includes the Bolte Bridge is located in Melbourne.,Melbourne,716.953500173986,1153.9314000401646
Which city contains the freeway that the West Gate Bridge is a part of?,"['Today it has an extensive network of freeways and arterial roadways used by private vehicles including freight as well as public transport systems including bus and taxis. Major highways feeding into the city include the Eastern Freeway, Monash Freeway and West Gate Freeway (which spans the large West Gate Bridge), whilst other freeways circumnavigate the city or lead to other major cities, including CityLink (which spans the large Bolte Bridge), Eastlink, the Western Ring Road, Calder Freeway, Tullamarine Freeway (main airport link) and the Hume Freeway which links Melbourne and Sydney.', 'The Santa Monica Freeway (Interstate 10) begins in Santa Monica near the Pacific Ocean and heads east. The Santa Monica Freeway between Santa Monica and downtown Los Angeles has the distinction of being one of the busiest highways in all of North America. After traversing Los Angeles County, I-10 crosses seven more states, terminating at Jacksonville, Florida.', 'Close to the eastern boundary of Santa Monica, Sepulveda Boulevard reaches from Long Beach at the south, to the northern end of the San Fernando Valley. Just east of Santa Monica is Interstate 405, the ""San Diego Freeway"", a major north-south route in Los Angeles County and Orange County, California.', ""I-75 (Chrysler and Fisher freeways) is the region's main north–south route, serving Flint, Pontiac, Troy, and Detroit, before continuing south (as the Detroit–Toledo and Seaway Freeways) to serve many of the communities along the shore of Lake Erie."", 'Interstate 10, which runs southeast to northwest through town, connects Tucson to Phoenix to the northwest on the way to its western terminus in Santa Monica, California, and to Las Cruces, New Mexico and El Paso, Texas toward its eastern terminus in Jacksonville, Florida. I-19 runs south from Tucson toward Nogales and the U.S.-Mexico border. I-19 is the only Interstate highway that uses ""kilometer posts"" instead of ""mileposts"", although the speed limits are marked in miles per hour instead of kilometers per hour.']",The West Gate Freeway is located in Melbourne.,Melbourne,98.93039986491203,811.0205000266433
In which state is the city where the group Girl's Tyme was located?,"[""Girl's Tyme failed to win, and Beyoncé later said the song they performed was not good. In 1995 Beyoncé's father resigned from his job to manage the group. The move reduced Beyoncé's family's income by half, and her parents were forced to move into separated apartments."", ""Mathew cut the original line-up to four and the group continued performing as an opening act for other established R&B girl groups. The girls auditioned before record labels and were finally signed to Elektra Records, moving to Atlanta Records briefly to work on their first recording, only to be cut by the company. This put further strain on the family, and Beyoncé's parents separated."", ""At age eight, Beyoncé and childhood friend Kelly Rowland met LaTavia Roberson while in an audition for an all-girl entertainment group. They were placed into a group with three other girls as Girl's Tyme, and rapped and danced on the talent show circuit in Houston. After seeing the group, R&B producer Arne Frager brought them to his Northern California studio and placed them in Star Search, the largest talent show on national TV at the time."", ""On October 5, 1995, Dwayne Wiggins's Grass Roots Entertainment signed the group. In 1996, the girls began recording their debut album under an agreement with Sony Music, the Knowles family reunited, and shortly after, the group got a contract with Columbia Records."", 'Born in Bay City, Michigan, Madonna moved to New York City in 1977 to pursue a career in modern dance. After performing in the music groups Breakfast Club and Emmy, she signed with Sire Records (an auxiliary label of Warner Bros. Records) in 1982 and released her self-titled debut album the following year. She followed it with a series of commercially and critcally successful albums, including the Grammy Award winners Ray of Light (1998) and Confessions on a Dance Floor (2005).']","Girl's Tyme was located in Houston, which is in the state of Texas.",Texas,106.49749985896051,883.4190000779927
Which classic literary work acted as a catalyst for the civil rights movement in the nation?,"['The novel is cited as a factor in the success of the civil rights movement in the 1960s, however, in that it ""arrived at the right moment to help the South and the nation grapple with the racial tensions (of) the accelerating civil rights movement"". Its publication is so closely associated with the Civil Rights Movement that many studies of the book and biographies of Harper Lee include descriptions of important moments in the movement, despite the fact that she had no direct involvement in any of them. Civil Rights leader Andrew Young comments that part of the book\'s effectiveness is that it ""inspires hope in the midst of chaos and confusion"" and by using racial epithets portrays the reality of the times in which it was set.', 'Young views the novel as ""an act of humanity"" in showing the possibility of people rising above their prejudices. Alabama author Mark Childress compares it to the impact of Uncle Tom\'s Cabin, a book that is popularly implicated in starting the U.S. Civil War. Childress states the novel ""gives white Southerners a way to understand the racism that they\'ve been brought up with and to find another way.', 'And most white people in the South were good people. Most white people in the South were not throwing bombs and causing havoc ... I think the book really helped them come to understand what was wrong with the system in the way that any number of treatises could never do, because it was popular art, because it was told from a child\'s point of view.""', 'During the American Civil Rights movement of the 1950s and 1960s, some African-American leaders in the United States, notably Malcolm X, objected to the word Negro because they associated it with the long history of slavery, segregation, and discrimination that treated African Americans as second-class citizens, or worse. Malcolm X preferred Black to Negro, but later gradually abandoned that as well for Afro-American after leaving the Nation of Islam.', 'Though Brazilians of at least partial African heritage make up a large percentage of the population, few blacks have been elected as politicians. The city of Salvador, Bahia, for instance, is 80% people of color, but voters have not elected a mayor of color. Journalists like to say that US cities with black majorities, such as Detroit and New Orleans, have not elected white mayors since after the civil rights movement, when the Voting Rights Act of 1965 protected the franchise for minorities, and blacks in the South regained the power to vote for the first time since the turn of the 20th century.']","Mark Childress compares the novel to Uncle Tom's Cabin, a book that is popularly implicated in starting the U.S. Civil War.",To Kill a Mockingbird,84.32330004870892,1734.0531998779625
What company founded by Michael Dell acquired the gaming computer manufacturer Alienware?,"[""Dell's contract with the state required them to repay the incentives for failing to meet the conditions, and they sold the North Carolina plant to Herbalife. Most of the work that used to take place in Dell's U.S. plants was transferred to contract manufacturers in Asia and Mexico, or some of Dell's own factories overseas. The Miami, Florida, facility of its Alienware subsidiary remains in operation, while Dell continues to produce its servers (its most profitable products) in Austin, Texas."", ""contains only offices). Subsidies from the Polish government did keep Dell for a long time. After ending assembly in the Limerick plant the Cherrywood Technology Campus in Dublin was the largest Dell office in the republic with over 1200 people in sales (mainly UK & Ireland), support (enterprise support for EMEA) and research and development for cloud computing, but no more manufacturing except Dell's Alienware subsidiary, which manufactures PCs in an Athlone, Ireland plant."", ""Also that month, Peter Moore, former president of Sega of America, joined Microsoft. On August 12, 2003, ATI signed on to produce the graphic processing unit for the new console, a deal which was publicly announced two days later. Before the launch of the Xbox 360, several Alpha development kits were spotted using Apple's Power Mac G5 hardware."", 'By the late 2000s, Dell\'s ""configure to order"" approach of manufacturing—delivering individual PCs configured to customer specifications from its US facilities was no longer as efficient or competitive with high-volume Asian contract manufacturers as PCs became powerful low-cost commodities. Dell closed plants that produced desktop computers for the North American market, including the Mort Topfer Manufacturing Center in Austin, Texas (original location) and Lebanon, Tennessee (opened in 1999) in 2008 and early 2009, respectively. The desktop production plant in Winston-Salem, North Carolina, received US$280 million in incentives from the state and opened in 2005, but ceased operations in November 2010.', 'On January 8, 2009, Dell announced the closure of its manufacturing plant in Limerick, Ireland, with the loss of 1,900 jobs and the transfer of production to its plant in Łodź in Poland.']","According to the text, Dell acquired the Alienware subsidiary, which remains in operation in Miami, Florida.",Dell,85.74009989388287,872.1688000950962
What music streaming service is co-owned by the singer of Dangerously in Love?,"[""On March 30, 2015, it was announced that Beyoncé is a co-owner, with various other music artists, in the music streaming service Tidal. The service specialises in lossless audio and high definition music videos. Beyoncé's husband Jay Z acquired the parent company of Tidal, Aspiro, in the first quarter of 2015."", 'Including Beyoncé and Jay-Z, sixteen artist stakeholders (such as Kanye West, Rihanna, Madonna, Chris Martin, Nicki Minaj and more) co-own Tidal, with the majority owning a 3% equity stake. The idea of having an all artist owned streaming service was created by those involved to adapt to the increased demand for streaming within the current music industry, and to rival other streaming services such as Spotify, which have been criticised for their low payout of royalties. "" The challenge is to get everyone to respect music again, to recognize its value"", stated Jay-Z on the release of Tidal.', 'iTunes sponsored the show since season seven.', 'Their hiatus saw the release of Beyoncé\'s debut album, Dangerously in Love (2003), which established her as a solo artist worldwide, earned five Grammy Awards and featured the Billboard Hot 100 number-one singles ""Crazy in Love"" and ""Baby Boy"".', 'The Pitchfork online music publication ranked My Beautiful Dark Twisted Fantasy as the world\'s best album of the decade ""so far""—between 2010 and 2014—on August 19, 2014, while Yeezus was ranked in the eighth position of a list of 100 albums. During the same week, the song ""Runaway"" (featuring Pusha T) was ranked in the third position in the publication\'s list of the 200 ""best tracks"" released since 2010.']","Beyoncé, who sang ""Dangerously in Love,"" is a co-owner of the music streaming service Tidal.",Tidal,95.55589989759028,931.7417000420392
"Which university's athletic teams, known as the Fighting Irish, compete in the Atlantic Coast Conference?","['Notre Dame moved its hockey team to Hockey East. After Notre Dame joined the ACC, the conference announced it would add fencing as a sponsored sport beginning in the 2014–15 school year. There are many theories behind the adoption of the athletics moniker but it is known that the Fighting Irish name was used in the early 1920s with respect to the football team and was popularized by alumnus Francis Wallace in his New York Daily News columns.', ""Notre Dame's conference affiliations for all of its sports except football and fencing changed in July 2013 as a result of major conference realignment, and its fencing affiliation will change in July 2014. The Irish left the Big East for the ACC during a prolonged period of instability in the Big East; while they maintain their football independence, they have committed to play five games per season against ACC opponents. In ice hockey, the Irish were forced to find a new conference home after the Big Ten Conference's decision to add the sport in 2013–14 led to a cascade of conference moves that culminated in the dissolution of the school's former hockey home, the Central Collegiate Hockey Association, after the 2012–13 season."", 'Because of its long athletic tradition, the university features also many building dedicated to sport. The most famous is Notre Dame Stadium, home of the Fighting Irish football team; it has been renovated several times and today it can hold more than 80 thousand people. Prominent venues include also the Edmund P. Joyce Center, with indoor basketball and volleyball courts, and the Compton Family Ice Arena, a two-rink facility dedicated to hockey.', 'Of all of these teams, only the Soul still compete in the AFL as of now.', ""3 rankings for its undergraduate program—one by Public Accounting Report and the other by U.S. News & World Report. The same two reporting agencies also ranked the school's MAcc program No. 3 and No.""]",Notre Dame's athletic teams compete in the Atlantic Coast Conference.,Notre Dame,73.04459996521473,851.3356000185013
In which city did the composer Chopin spend his later years after leaving Poland?,"[""In his native Poland, in France, where he composed most of his works, and beyond, Chopin's music, his status as one of music's earliest superstars, his association (if only indirect) with political insurrection, his love life and his early death have made him, in the public consciousness, a leading symbol of the Romantic era. His works remain popular, and he has been the subject of numerous films and biographies of varying degrees of historical accuracy."", ""In autumn they returned to Paris, where Chopin's apartment at 5 rue Tronchet was close to Sand's rented accommodation at the rue Pigalle. He frequently visited Sand in the evenings, but both retained some independence. In 1842 he and Sand moved to the Square d'Orléans, living in adjacent buildings."", 'In June 1837 Chopin visited London incognito in the company of the piano manufacturer Camille Pleyel where he played at a musical soirée at the house of English piano maker James Broadwood. On his return to Paris, his association with Sand began in earnest, and by the end of June 1838 they had become lovers. Sand, who was six years older than the composer, and who had had a series of lovers, wrote at this time: ""I must say I was confused and amazed at the effect this little creature had on me ... I have still not recovered from my astonishment, and if I were a proud person I should be feeling humiliated at having been carried away ..."" The two spent a miserable winter on Majorca (8 November 1838 to 13 February 1839), where, together with Sand\'s two children, they had journeyed in the hope of improving the health of Chopin and that of Sand\'s 15-year-old son Maurice, and also to escape the threats of Sand\'s former lover Félicien Mallefille.', 'Chopin seldom performed publicly in Paris. In later years he generally gave a single annual concert at the Salle Pleyel, a venue that seated three hundred. He played more frequently at salons, but preferred playing at his own Paris apartment for small groups of friends.', 'At the end of November, Chopin returned to Paris. He passed the winter in unremitting illness, but gave occasional lessons and was visited by friends, including Delacroix and Franchomme. Occasionally he played, or accompanied the singing of Delfina Potocka, for his friends.']","After leaving Poland, Chopin spent his later years in France, where he composed most of his works.",Paris,74.39570012502372,896.5443999040872
Which singer starred in the 1996 musical film Evita about the life of Eva Peron?,"['In Evita (1996), Madonna played the title role of Eva Perón. For a long time, Madonna had desired to play Perón and wrote to director Alan Parker to explain why she would be perfect for the part. She said later, ""This is the role I was born to play.', 'I put everything of me into this because it was much more than a role in a movie. It was exhilarating and intimidating at the same time..... And I am prouder of Evita than anything else I have done."" After securing the role, she had vocal training and learned about the history of Argentina and Perón.', 'She plays Evita with a poignant weariness and has more than just a bit of star quality. Love or hate Madonna-Eva, she is a magnet for all eyes."" Madonna won a Golden Globe Award for Best Actress in Motion Picture Musical or Comedy for the role.', 'She released three singles from the Evita soundtrack album, including ""You Must Love Me"" (which won an Academy Award for Best Original Song in 1997) and ""Don\'t Cry for Me Argentina"". Madonna was later presented with the Artist Achievement Award by Tony Bennett at the 1996 Billboard Music Awards. On October 14, 1996, Madonna gave birth to Lourdes Maria Ciccone Leon, her daughter with Leon.', ""Madonna's popularity was further enhanced by her film roles, including Desperately Seeking Susan (1985), Dick Tracy (1990), and Evita (1996); the latter earned her a Golden Globe Award for Best Actress. However, most of her other films have been panned by critics. Her other ventures include fashion design, writing children's books, and filmmaking.""]",Madonna starred in the 1996 musical film Evita about the life of Eva Perón.,Madonna,149.33159993961453,862.3673999682069
Who wrote the groundbreaking scientific book On the Origin of Species?,"['Perhaps the most prominent, controversial and far-reaching theory in all of science has been the theory of evolution by natural selection put forward by the British naturalist Charles Darwin in his book On the Origin of Species in 1859. Darwin proposed that the features of all living things, including humans, were shaped by natural processes over long periods of time. The theory of evolution in its current form affects almost all areas of biology.', ""Anthropology and many other current fields are the intellectual results of the comparative methods developed in the earlier 19th century. Theorists in such diverse fields as anatomy, linguistics, and Ethnology, making feature-by-feature comparisons of their subject matters, were beginning to suspect that similarities between animals, languages, and folkways were the result of processes or laws unknown to them then. For them, the publication of Charles Darwin's On the Origin of Species was the epiphany of everything they had begun to suspect."", 'That event was studied by sequencing the genome of an ancient flowering plant, Amborella trichopoda, and directly addresses Darwin\'s ""abominable mystery.""', 'The book was written for non-specialist readers and attracted widespread interest upon its publication. As Darwin was an eminent scientist, his findings were taken seriously and the evidence he presented generated scientific, philosophical, and religious discussion. The debate over the book contributed to the campaign by T. H. Huxley and his fellow members of the X Club to secularise science by promoting scientific naturalism.', 'By 1953, James D. Watson, Francis Crick and Maurice Wilkins clarified the basic structure of DNA, the genetic material for expressing life in all its forms. In the late 20th century, the possibilities of genetic engineering became practical for the first time, and a massive international effort began in 1990 to map out an entire human genome (the Human Genome Project).']",Charles Darwin wrote the groundbreaking scientific book On the Origin of Species.,Charles Darwin,88.54819997213781,1038.2509999908507
