question,contexts,answer,ground_truth,retrieval_ms,generation_ms
Which part of the brain receives information from the eyes to regulate circadian rhythm?,"['The primary circadian ""clock"" in mammals is located in the suprachiasmatic nucleus (or nuclei) (SCN), a pair of distinct groups of cells located in the hypothalamus. Destruction of the SCN results in the complete absence of a regular sleep–wake rhythm. The SCN receives information about illumination through the eyes.', 'The retina of the eye contains ""classical"" photoreceptors (""rods"" and ""cones""), which are used for conventional vision. But the retina also contains specialized ganglion cells that are directly photosensitive, and project directly to the SCN, where they help in the entrainment (synchronization) of this master circadian clock.', 'Three broad types of distinct brain activity patterns can be measured: REM, light NREM and deep NREM. During deep NREM sleep, also called slow wave sleep, activity in the cortex takes the form of large synchronized waves, whereas in the waking state it is noisy and desynchronized. Levels of the neurotransmitters norepinephrine and serotonin drop during slow wave sleep, and fall almost to zero during REM sleep; levels of acetylcholine show the reverse pattern.', 'What drove circadian rhythms to evolve has been an enigmatic question. Previous hypotheses emphasized that photosensitive proteins and circadian rhythms may have originated together in the earliest cells, with the purpose of protecting replicating DNA from high levels of damaging ultraviolet radiation during the daytime. As a result, replication was relegated to the dark.', 'The elaboration of the cerebral cortex carries with it changes to other brain areas. The superior colliculus, which plays a major role in visual control of behavior in most vertebrates, shrinks to a small size in mammals, and many of its functions are taken over by visual areas of the cerebral cortex. The cerebellum of mammals contains a large portion (the neocerebellum) dedicated to supporting the cerebral cortex, which has no counterpart in other vertebrates.']","The suprachiasmatic nucleus (or nuclei), located in the hypothalamus, receives information about illumination through the eyes.",hypothalamus,740.4203999321908,1958.7912000715733
What organ system contains the structure that provides information to the SCN?,"['Such information must be located and returned to the consciousness. Some retrieval attempts may be effortless due to the type of information, and other attempts to remember stored information may be more demanding for various reasons.', 'These odor pathways gradually formed the neural blueprint for what was later to become our limbic brain.', 'The primary circadian ""clock"" in mammals is located in the suprachiasmatic nucleus (or nuclei) (SCN), a pair of distinct groups of cells located in the hypothalamus. Destruction of the SCN results in the complete absence of a regular sleep–wake rhythm. The SCN receives information about illumination through the eyes.', 'The retina of the eye contains ""classical"" photoreceptors (""rods"" and ""cones""), which are used for conventional vision. But the retina also contains specialized ganglion cells that are directly photosensitive, and project directly to the SCN, where they help in the entrainment (synchronization) of this master circadian clock.', 'The hippocampus is also important for memory consolidation. The hippocampus receives input from different parts of the cortex and sends its output out to different parts of the brain also. The input comes from secondary and tertiary sensory areas that have processed the information a lot already.']","The eye, specifically the retina, contains specialized ganglion cells that send information to the SCN.",nervous system,101.17589985020459,952.8424998279661
What body structure increases in size during puberty and contributes to increased exercise tolerance?,"['Pubertal development also affects circulatory and respiratory systems as an adolescents\' heart and lungs increase in both size and capacity. These changes lead to increased strength and tolerance for exercise. Sex differences are apparent as males tend to develop ""larger hearts and lungs, higher systolic blood pressure, a lower resting heart rate, a greater capacity for carrying oxygen to the blood, a greater power for neutralizing the chemical products of muscular exercise, higher blood hemoglobin and more red blood cells"".', 'Another set of significant physical changes during puberty happen in bodily distribution of fat and muscle. This process is different for females and males. Before puberty, there are nearly no sex differences in fat and muscle distribution; during puberty, boys grow muscle much faster than girls, although both sexes experience rapid muscle development.', 'This may help explain sex differences in athletic performance.', 'In contrast, though both sexes experience an increase in body fat, the increase is much more significant for girls. Frequently, the increase in fat for girls happens in their years just before puberty. The ratio between muscle and fat among post-pubertal boys is around three to one, while for girls it is about five to four.', 'The changes in secondary sex characteristics that take place during puberty are often referred to in terms of five Tanner stages, named after the British pediatrician who devised the categorization system.']","During puberty, an adolescent's heart and lungs increase in both size and capacity, which leads to increased strength and tolerance for exercise.",heart and lungs,119.97209978289902,1042.6796998362988
Which sex tends to develop larger hearts and lungs and also more red blood cells?,"['Pubertal development also affects circulatory and respiratory systems as an adolescents\' heart and lungs increase in both size and capacity. These changes lead to increased strength and tolerance for exercise. Sex differences are apparent as males tend to develop ""larger hearts and lungs, higher systolic blood pressure, a lower resting heart rate, a greater capacity for carrying oxygen to the blood, a greater power for neutralizing the chemical products of muscular exercise, higher blood hemoglobin and more red blood cells"".', 'This may help explain sex differences in athletic performance.', 'Another set of significant physical changes during puberty happen in bodily distribution of fat and muscle. This process is different for females and males. Before puberty, there are nearly no sex differences in fat and muscle distribution; during puberty, boys grow muscle much faster than girls, although both sexes experience rapid muscle development.', 'There is also an association with polygyny which may be due to higher pathogen load, making selecting males with a high genetic resistance increasingly important. Higher pathogen load is also associated with more collectivism and less individualism, which may limit contacts with outside groups and infections. There are alternative explanations for at least some of the associations although some of these explanations may in turn ultimately be due to pathogen load.', 'In contrast, though both sexes experience an increase in body fat, the increase is much more significant for girls. Frequently, the increase in fat for girls happens in their years just before puberty. The ratio between muscle and fat among post-pubertal boys is around three to one, while for girls it is about five to four.']","According to the text, males tend to develop larger hearts and lungs, as well as having more red blood cells.",males,111.5982998162508,1030.0090999808162
What physiological change during puberty contributes to increased strength and exercise tolerance?,"['Pubertal development also affects circulatory and respiratory systems as an adolescents\' heart and lungs increase in both size and capacity. These changes lead to increased strength and tolerance for exercise. Sex differences are apparent as males tend to develop ""larger hearts and lungs, higher systolic blood pressure, a lower resting heart rate, a greater capacity for carrying oxygen to the blood, a greater power for neutralizing the chemical products of muscular exercise, higher blood hemoglobin and more red blood cells"".', 'This may help explain sex differences in athletic performance.', 'Another set of significant physical changes during puberty happen in bodily distribution of fat and muscle. This process is different for females and males. Before puberty, there are nearly no sex differences in fat and muscle distribution; during puberty, boys grow muscle much faster than girls, although both sexes experience rapid muscle development.', 'In contrast, though both sexes experience an increase in body fat, the increase is much more significant for girls. Frequently, the increase in fat for girls happens in their years just before puberty. The ratio between muscle and fat among post-pubertal boys is around three to one, while for girls it is about five to four.', 'The changes in secondary sex characteristics that take place during puberty are often referred to in terms of five Tanner stages, named after the British pediatrician who devised the categorization system.']","Changes in an adolescent's heart and lungs, which increase in both size and capacity, contribute to increased strength and tolerance for exercise.",increased size and capacity of the heart and lungs,79.38929996453226,1078.2357999123633
Which Beyoncé album released in 2003 made her a worldwide known artist?,"['Their hiatus saw the release of Beyoncé\'s debut album, Dangerously in Love (2003), which established her as a solo artist worldwide, earned five Grammy Awards and featured the Billboard Hot 100 number-one singles ""Crazy in Love"" and ""Baby Boy"".', ""Beyoncé Giselle Knowles-Carter (/biːˈjɒnseɪ/ bee-YON-say) (born September 4, 1981) is an American singer, songwriter, record producer and actress. Born and raised in Houston, Texas, she performed in various singing and dancing competitions as a child, and rose to fame in the late 1990s as lead singer of R&B girl-group Destiny's Child. Managed by her father, Mathew Knowles, the group became one of the world's best-selling girl groups of all time."", 'To promote the film, Beyoncé released ""Listen"" as the lead single from the soundtrack album. In April 2007, Beyoncé embarked on The Beyoncé Experience, her first worldwide concert tour, visiting 97 venues and grossed over $24 million.[note 1] Beyoncé conducted pre-concert food donation drives during six major stops in conjunction with her pastor at St. John\'s and America\'s Second Harvest. At the same time, B\'Day was re-released with five additional songs, including her duet with Shakira ""Beautiful Liar"".', 'In September 2010, Beyoncé made her runway modelling debut at Tom Ford\'s Spring/Summer 2011 fashion show. She was named ""World\'s Most Beautiful Woman"" by People and the ""Hottest Female Singer of All Time"" by Complex in 2012. In January 2013, GQ placed her on its cover, featuring her atop its ""100 Sexiest Women of the 21st Century"" list.', 'On January 7, 2012, Beyoncé gave birth to a daughter, Blue Ivy Carter, at Lenox Hill Hospital in New York under heavy security. Two days later, Jay Z released ""Glory"", a song dedicated to their child, on his website Lifeandtimes.com. The song detailed the couple\'s pregnancy struggles, including a miscarriage Beyoncé suffered before becoming pregnant with Blue Ivy.']","Beyoncé's debut album, Dangerously in Love, released in 2003, established her as a solo artist worldwide.",Dangerously in Love,166.62420006468892,1765.566400019452
Which singer from Houston became the lead singer of Destiny's Child before releasing Dangerously in Love?,"[""Beyoncé Giselle Knowles-Carter (/biːˈjɒnseɪ/ bee-YON-say) (born September 4, 1981) is an American singer, songwriter, record producer and actress. Born and raised in Houston, Texas, she performed in various singing and dancing competitions as a child, and rose to fame in the late 1990s as lead singer of R&B girl-group Destiny's Child. Managed by her father, Mathew Knowles, the group became one of the world's best-selling girl groups of all time."", 'Their hiatus saw the release of Beyoncé\'s debut album, Dangerously in Love (2003), which established her as a solo artist worldwide, earned five Grammy Awards and featured the Billboard Hot 100 number-one singles ""Crazy in Love"" and ""Baby Boy"".', 'The remaining band members recorded ""Independent Women Part I"", which appeared on the soundtrack to the 2000 film, Charlie\'s Angels. It became their best-charting single, topping the U.S. Billboard Hot 100 chart for eleven consecutive weeks. In early 2001, while Destiny\'s Child was completing their third album, Beyoncé landed a major role in the MTV made-for-television film, Carmen: A Hip Hopera, starring alongside American actor Mekhi Phifer.', ""At age eight, Beyoncé and childhood friend Kelly Rowland met LaTavia Roberson while in an audition for an all-girl entertainment group. They were placed into a group with three other girls as Girl's Tyme, and rapped and danced on the talent show circuit in Houston. After seeing the group, R&B producer Arne Frager brought them to his Northern California studio and placed them in Star Search, the largest talent show on national TV at the time."", 'Her vocal abilities mean she is identified as the centerpiece of Destiny\'s Child. The Daily Mail calls Beyoncé\'s voice ""versatile"", capable of exploring power ballads, soul, rock belting, operatic flourishes, and hip hop. Jon Pareles of The New York Times commented that her voice is ""velvety yet tart, with an insistent flutter and reserves of soul belting"".']","Beyoncé, who was born and raised in Houston, Texas, rose to fame as the lead singer of Destiny's Child before releasing her debut album, Dangerously in Love.",Beyoncé,77.36260001547635,1166.6317000053823
Who managed the group in which Beyoncé was the lead singer?,"[""Mathew cut the original line-up to four and the group continued performing as an opening act for other established R&B girl groups. The girls auditioned before record labels and were finally signed to Elektra Records, moving to Atlanta Records briefly to work on their first recording, only to be cut by the company. This put further strain on the family, and Beyoncé's parents separated."", ""On October 5, 1995, Dwayne Wiggins's Grass Roots Entertainment signed the group. In 1996, the girls began recording their debut album under an agreement with Sony Music, the Knowles family reunited, and shortly after, the group got a contract with Columbia Records."", ""Beyoncé Giselle Knowles-Carter (/biːˈjɒnseɪ/ bee-YON-say) (born September 4, 1981) is an American singer, songwriter, record producer and actress. Born and raised in Houston, Texas, she performed in various singing and dancing competitions as a child, and rose to fame in the late 1990s as lead singer of R&B girl-group Destiny's Child. Managed by her father, Mathew Knowles, the group became one of the world's best-selling girl groups of all time."", ""On March 30, 2015, it was announced that Beyoncé is a co-owner, with various other music artists, in the music streaming service Tidal. The service specialises in lossless audio and high definition music videos. Beyoncé's husband Jay Z acquired the parent company of Tidal, Aspiro, in the first quarter of 2015."", 'Their hiatus saw the release of Beyoncé\'s debut album, Dangerously in Love (2003), which established her as a solo artist worldwide, earned five Grammy Awards and featured the Billboard Hot 100 number-one singles ""Crazy in Love"" and ""Baby Boy"".']",Mathew Knowles managed the group in which Beyoncé was the lead singer.,Mathew Knowles,78.60219990834594,799.6588998939842
Which artist performed with Coldplay at Super Bowl 50 after posing on the cover of Vogue?,"['She headlined the 2015 Made in America festival in early September and also the Global Citizen Festival later that month. Beyoncé made an uncredited featured appearance on the track ""Hymn for the Weekend"" by British rock band Coldplay, on their seventh studio album A Head Full of Dreams (2015), which saw release in December. On January 7, 2016, Pepsi announced Beyoncé would perform alongside Coldplay at Super Bowl 50 in February.', 'At the 57th Annual Grammy Awards in February 2015, Beyoncé was nominated for six awards, ultimately winning three: Best R&B Performance and Best R&B Song for ""Drunk in Love"", and Best Surround Sound Album for Beyoncé. She was nominated for Album of the Year but the award was won by Beck for his Morning Phase album. In August, the cover of the September issue of Vogue magazine was unveiled online, Beyoncé as the cover star, becoming the first African-American artist and third African-American woman in general to cover the September issue.', 'Knowles has previously performed at four Super Bowl shows throughout her career, serving as the main headliner of the 47th Super Bowl halftime show in 2013.', 'Following a headlining set at Coachella 2011 that was described by The Hollywood Reporter as ""one of greatest hip-hop sets of all time"", West released the collaborative album Watch the Throne with Jay-Z. By employing a sales strategy that released the album digitally weeks before its physical counterpart, Watch the Throne became one of the few major label albums in the Internet age to avoid a leak. "" Niggas in Paris"" became the record\'s highest charting single, peaking at number five on the Billboard Hot 100. In 2012, West released the compilation album Cruel Summer, a collection of tracks by artists from West\'s record label GOOD Music.', 'Madonna\'s emergence occurred during the advent of MTV; Chris Nelson from The New York Times spoke of pop artists like Madonna saying, ""MTV, with its almost exclusively lip-synched videos, ushered in an era in which average music fans might happily spend hours a day, every day, watching singers just mouth the words."" The symbiotic relationship between the music video and lip-syncing led to a desire for the spectacle and imagery of the music video to be transferred to live stage shows. He added, ""Artists like Madonna and Janet Jackson set new standards for showmanship, with concerts that included not only elaborate costumes and precision-timed pyrotechnics but also highly athletic dancing.']",Beyoncé performed alongside Coldplay at Super Bowl 50 after she appeared on the cover of Vogue.,Beyoncé,87.90529984980822,909.7456000745296
Which British band performed with Beyoncé at Super Bowl 50?,"['She headlined the 2015 Made in America festival in early September and also the Global Citizen Festival later that month. Beyoncé made an uncredited featured appearance on the track ""Hymn for the Weekend"" by British rock band Coldplay, on their seventh studio album A Head Full of Dreams (2015), which saw release in December. On January 7, 2016, Pepsi announced Beyoncé would perform alongside Coldplay at Super Bowl 50 in February.', 'Knowles has previously performed at four Super Bowl shows throughout her career, serving as the main headliner of the 47th Super Bowl halftime show in 2013.', 'To promote the film, Beyoncé released ""Listen"" as the lead single from the soundtrack album. In April 2007, Beyoncé embarked on The Beyoncé Experience, her first worldwide concert tour, visiting 97 venues and grossed over $24 million.[note 1] Beyoncé conducted pre-concert food donation drives during six major stops in conjunction with her pastor at St. John\'s and America\'s Second Harvest. At the same time, B\'Day was re-released with five additional songs, including her duet with Shakira ""Beautiful Liar"".', 'On 15 November 2009, May and Taylor performed ""Bohemian Rhapsody"" live on the British TV show The X Factor alongside the finalists.', 'At the 57th Annual Grammy Awards in February 2015, Beyoncé was nominated for six awards, ultimately winning three: Best R&B Performance and Best R&B Song for ""Drunk in Love"", and Best Surround Sound Album for Beyoncé. She was nominated for Album of the Year but the award was won by Beck for his Morning Phase album. In August, the cover of the September issue of Vogue magazine was unveiled online, Beyoncé as the cover star, becoming the first African-American artist and third African-American woman in general to cover the September issue.']",Beyoncé performed alongside Coldplay at Super Bowl 50.,Coldplay,77.67640007659793,772.5273999385536
