id,title,context,question,answers
builtin_0,builtin,,To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,Saint Bernadette Soubirous
builtin_1,builtin,,The granting of Doctorate degrees first occurred in what year at Notre Dame?,1924
builtin_2,builtin,,When did the first art gallery open in Washington state?,1927
builtin_3,builtin,,What can cause your memory to deterioriate or not work as well?,Stress
builtin_4,builtin,,What has excessive hunting contributed heavily to?,"the endangerment, extirpation and extinction of many animals"
builtin_5,builtin,,What is the name of the AFL team based in Tampa Bay?,Storm
builtin_6,builtin,,Which conjugation has about 3500 verbs?,first conjugation
builtin_7,builtin,,Which university library is larger than Nanjing University Library?,Peking University Library
builtin_8,builtin,,Which canton is Berne the capital?,Canton of Bern
builtin_9,builtin,,Why is it difficult to measure corruption?,imprecise definitions of corruption
builtin_10,builtin,,Why is Yiddish not a dialect of German?,a Yiddish speaker would not consult a German dictionary
builtin_11,builtin,,Who is the patron saint of the university where the Scholastic Magazine began publishing in 1876?,The Virgin Mary
builtin_12,builtin,,"What hormones damage the brain region associated with memory loss, and what daily activity helps stabilize those memories?","Glucocorticoids damage the hippocampal region, and sleep helps stabilize memories."
builtin_13,builtin,,How many years after the Scholastic Magazine began publishing did Notre Dame first formally offer Doctorate degrees?,48 years
builtin_14,builtin,,"When regals recruited low-ranking local tribes for expeditions in British India, what specific global consequence did this type of activity heavily contribute to?","The endangerment, extirpation and extinction of many animals."
builtin_15,builtin,,"In the city where the Henry Art Gallery opened as a public art museum, what type of transportation system did they later begin to focus on?",Mass transit.
5731e2a6e99e3014001e63b4,Bras%C3%ADlia,"The Palácio da Alvorada is the official residence of the President of Brazil. The palace was designed, along with the rest of the city of Brasília, by Oscar Niemeyer and inaugurated in 1958. One of the first structures built in the republic's new capital city, the ""Alvorada"" lies on a peninsula at the margins of Lake Paranoá. The principles of simplicity and modernity, that in the past characterized the great works of architecture, motivated Niemeyer. The viewer has an impression of looking at a glass box, softly landed on the ground with the support of thin external columns. The building has an area of 7,000 m2 with three floors consisting of the basement, landing, and second floor. The auditorium, kitchen, laundry, medical center, and administration offices are at basement level. The rooms used by the presidency for official receptions are on the landing. The second floor has four suites, two apartments, and various private rooms which make up the residential part of the palace. The building also has a library, a heated Olympic-sized swimming pool, a music room, two dining rooms and various meeting rooms. A chapel and heliport are in adjacent buildings.",Where does Brazil's president live?,Palácio da Alvorada
56dff2277aa994140058e29c,Pub,"The Red Lion in Parliament Square is close to the Palace of Westminster and is consequently used by political journalists and members of parliament. The pub is equipped with a Division bell that summons MPs back to the chamber when they are required to take part in a vote. The Punch Bowl, Mayfair was at one time jointly owned by Madonna and Guy Ritchie. The Coleherne public house in Earls Court was a well-known gay pub from the 1950s. It attracted many well-known patrons, such as Freddie Mercury, Kenny Everett and Rudolph Nureyev. It was used by the serial-killer Colin Ireland to pick up victims.",What notable feature of the Red Lion reflects its parliamentary connection?,a Division bell
57277f03708984140094df2e,Textual_criticism,"Eclectic readings also normally give an impression of the number of witnesses to each available reading. Although a reading supported by the majority of witnesses is frequently preferred, this does not follow automatically. For example, a second edition of a Shakespeare play may include an addition alluding to an event known to have happened between the two editions. Although nearly all subsequent manuscripts may have included the addition, textual critics may reconstruct the original without the addition.",Why would someone prefer a second edition to a first edition?,a second edition of a Shakespeare play may include an addition alluding to an event known to have happened between the two editions
56d9e644dc89441400fdb8d3,Dog,"Dogs have lived and worked with humans in so many roles that they have earned the unique nickname, ""man's best friend"", a phrase used in other languages as well. They have been bred for herding livestock, hunting (e.g. pointers and hounds), rodent control, guarding, helping fishermen with nets, detection dogs, and pulling loads, in addition to their roles as companions. In 1957, a husky-terrier mix named Laika became the first animal to orbit the Earth.","What dog types, in the text, are used for hunting?",pointers and hounds
57306f658ab72b1400f9c4e8,Translation,"Mark Twain provided humorously telling evidence for the frequent unreliability of back-translation when he issued his own back-translation of a French translation of his short story, ""The Celebrated Jumping Frog of Calaveras County"". He published his back-translation in a 1903 volume together with his English-language original, the French translation, and a ""Private History of the 'Jumping Frog' Story"". The latter included a synopsized adaptation of his story that Twain stated had appeared, unattributed to Twain, in a Professor Sidgwick’s Greek Prose Composition (p. 116) under the title, ""The Athenian and the Frog""; the adaptation had for a time been taken for an independent ancient Greek precursor to Twain's ""Jumping Frog"" story.",What had been thought for a while to be an independent ancient Greek precursor to Twain's story?,"""The Athenian and the Frog"""
57323c0ce99e3014001e65bc,Pacific_War,"On 20 October 1944 the U.S. Sixth Army, supported by naval and air bombardment, landed on the favorable eastern shore of Leyte, north of Mindanao. The U.S. Sixth Army continued its advance from the east, as the Japanese rushed reinforcements to the Ormoc Bay area on the western side of the island. While the Sixth Army was reinforced successfully, the U.S. Fifth Air Force was able to devastate the Japanese attempts to resupply. In torrential rains and over difficult terrain, the advance continued across Leyte and the neighboring island of Samar to the north. On 7 December U.S. Army units landed at Ormoc Bay and, after a major land and air battle, cut off the Japanese ability to reinforce and supply Leyte. Although fierce fighting continued on Leyte for months, the U.S. Army was in control.",When did the U.S. Sixth Army land on the eastern shore of Leyte?,20 October 1944
5727c1064b864d1900163c87,On_the_Origin_of_Species,"Darwin discusses morphology, including the importance of homologous structures. He says, ""What can be more curious than that the hand of a man, formed for grasping, that of a mole for digging, the leg of the horse, the paddle of the porpoise, and the wing of the bat, should all be constructed on the same pattern, and should include the same bones, in the same relative positions?"" He notes that animals of the same class often have extremely similar embryos. Darwin discusses rudimentary organs, such as the wings of flightless birds and the rudiments of pelvis and leg bones found in some snakes. He remarks that some rudimentary organs, such as teeth in baleen whales, are found only in embryonic stages.",What are some examples of rudimentary organs that Darwin discusses in the chapter?,e wings of flightless birds and the rudiments of pelvis and leg bones found in some snakes
5706a1ad75f01819005e7c7e,New_Delhi,"The India Gate built in 1931 was inspired by the Arc de Triomphe in Paris. It is the national monument of India commemorating the 90,000 soldiers of the Indian Army who lost their lives while fighting for the British Raj in World War I and the Third Anglo-Afghan War.",The India Gate commemorates the lost soldiers of what army?,Indian Army
57284c3d4b864d19001648ec,History_of_India,"Many smaller clans mentioned within early literature seem to have been present across the rest of the subcontinent. Some of these kings were hereditary; other states elected their rulers. Early ""republics"" such as the Vajji (or Vriji) confederation centered in the city of Vaishali, existed as early as the 6th century BCE and persisted in some areas until the 4th century CE. The educated speech at that time was Sanskrit, while the languages of the general population of northern India are referred to as Prakrits. Many of the sixteen kingdoms had coalesced to four major ones by 500/400 BCE, by the time of Gautama Buddha. These four were Vatsa, Avanti, Kosala, and Magadha. The Life of Gautam Budhha was mainly associated with these four kingdoms.",Where was the Vajji confederation located?,Vaishali
572b3577f75d5e190021fd11,Empiricism,"A generation later, the Irish Anglican bishop, George Berkeley (1685–1753), determined that Locke's view immediately opened a door that would lead to eventual atheism. In response to Locke, he put forth in his Treatise Concerning the Principles of Human Knowledge (1710) an important challenge to empiricism in which things only exist either as a result of their being perceived, or by virtue of the fact that they are an entity doing the perceiving. (For Berkeley, God fills in for humans by doing the perceiving whenever humans are not around to do it.) In his text Alciphron, Berkeley maintained that any order humans may see in nature is the language or handwriting of God. Berkeley's approach to empiricism would later come to be called subjective idealism.",When was 'Treatise Concerning the Principles of Human Knowledge' published?,1710
