question,contexts,answer,ground_truth,retrieval_ms,generation_ms
Which part of the brain receives information from the eyes to regulate circadian rhythm?,"['What drove circadian rhythms to evolve has been an enigmatic question. Previous hypotheses emphasized that photosensitive proteins and circadian rhythms may have originated together in the earliest cells, with the purpose of protecting replicating DNA from high levels of damaging ultraviolet radiation during the daytime. As a result, replication was relegated to the dark.', 'However, evidence for this is lacking, since the simplest organisms with a circadian rhythm, the cyanobacteria, do the opposite of this - they divide more in the daytime. Recent studies instead highlight the importance of co-evolution of redox proteins with circadian oscillators in all three kingdoms of life following the Great Oxidation Event approximately 2.3 billion years ago. The current view is that circadian changes in environmental oxygen levels and the production of reactive oxygen species (ROS) in the presence of daylight are likely to have driven a need to evolve circadian rhythms to preempt, and therefore counteract, damaging redox reactions on a daily basis.', 'hypotheses Emphasized photosensitive proteins', 'circadian rhythms Originated earliest cells', 'photosensitive proteins Originated earliest cells', 'circadian changes In environmental oxygen levels', 'hypotheses Emphasized circadian rhythms', 'circadian rhythms DrivenBy circadian changes', 'circadian rhythms: A work of art named circadian rhythms.', 'circadian rhythms: An event named circadian rhythms.']","I'm sorry, I couldn't find that in the database.",hypothalamus,9334.261199925095,1056.5007999539375
What organ system contains the structure that provides information to the SCN?,"['The brains of all species are composed primarily of two broad classes of cells: neurons and glial cells. Glial cells (also known as glia or neuroglia) come in several types, and perform a number of critical functions, including structural support, metabolic support, insulation, and guidance of development. Neurons, however, are usually considered the most important cells in the brain.', 'In humans and many other mammals, new neurons are created mainly before birth, and the infant brain contains substantially more neurons than the adult brain. There are, however, a few areas where new neurons continue to be generated throughout life. The two areas for which adult neurogenesis is well established are the olfactory bulb, which is involved in the sense of smell, and the dentate gyrus of the hippocampus, where there is evidence that the new neurons play a role in storing newly acquired memories.', 'In intelligent mammals, such as primates, the cerebrum is larger relative to the rest of the brain. Intelligence itself is not easy to define, but indications of intelligence include the ability to learn, matched with behavioral flexibility. Rats, for example, are considered to be highly intelligent, as they can learn and perform new tasks, an ability that may be important when they first colonize a fresh habitat.', 'All of these brains contain the same set of basic anatomical components, but many are rudimentary in the hagfish, whereas in mammals the foremost part (the telencephalon) is greatly elaborated and expanded.', 'Pubertal development also affects circulatory and respiratory systems as an adolescents\' heart and lungs increase in both size and capacity. These changes lead to increased strength and tolerance for exercise. Sex differences are apparent as males tend to develop ""larger hearts and lungs, higher systolic blood pressure, a lower resting heart rate, a greater capacity for carrying oxygen to the blood, a greater power for neutralizing the chemical products of muscular exercise, higher blood hemoglobin and more red blood cells"".', 'adolescents PartOf circulatory system', 'adolescents Utilization computers', 'adolescents Participant videos', 'adolescents Participant email', 'adolescents StriveFor freedoms', 'adolescents Participant instant messaging', 'friends Impact adolescents', 'adolescents Demonstrate friends', 'anatomical components: A geographic location named anatomical components.', 'circulatory system: A geographic location named circulatory system.']","I'm sorry, I couldn't find that in the database.",nervous system,344.8727000504732,1586.6257001180202
What body structure increases in size during puberty and contributes to increased exercise tolerance?,"['Another set of significant physical changes during puberty happen in bodily distribution of fat and muscle. This process is different for females and males. Before puberty, there are nearly no sex differences in fat and muscle distribution; during puberty, boys grow muscle much faster than girls, although both sexes experience rapid muscle development.', 'In contrast, though both sexes experience an increase in body fat, the increase is much more significant for girls. Frequently, the increase in fat for girls happens in their years just before puberty. The ratio between muscle and fat among post-pubertal boys is around three to one, while for girls it is about five to four.', 'Their father, highly interested in their project, offered to pay for any supplies and spurred the boys on with the enticement of a ""big prize"" if they were successful. While his brother constructed the throat and larynx, Bell tackled the more difficult task of recreating a realistic skull. His efforts resulted in a remarkably lifelike head that could ""speak"", albeit only a few words.', 'However, higher concentrations of copper (100 ppm, 200 ppm, or 500 ppm) in the diet of rabbits may favorably influence feed conversion efficiency, growth rates, and carcass dressing percentages.', 'The boys would carefully adjust the ""lips"" and when a bellows forced air through the windpipe, a very recognizable ""Mama"" ensued, to the delight of neighbors who came to see the Bell invention.', 'rabbits Require healthy growth', 'girls Experience increase in body fat', 'girls Status unmarried', 'boys Adjusted lips', 'girls Participant auditioned before record labels', 'girls Participant ceremony', 'rabbits Has 3 ppm', 'rabbits Has diet', 'increase in body fat: An event named increase in body fat.', 'healthy growth: An entity of type STATE representing healthy growth.']","I'm sorry, I couldn't find that in the database.",heart and lungs,269.0963998902589,1418.3436001185328
Which sex tends to develop larger hearts and lungs and also more red blood cells?,"['Pubertal development also affects circulatory and respiratory systems as an adolescents\' heart and lungs increase in both size and capacity. These changes lead to increased strength and tolerance for exercise. Sex differences are apparent as males tend to develop ""larger hearts and lungs, higher systolic blood pressure, a lower resting heart rate, a greater capacity for carrying oxygen to the blood, a greater power for neutralizing the chemical products of muscular exercise, higher blood hemoglobin and more red blood cells"".', 'This may help explain sex differences in athletic performance.', 'The isolation of enzymes from infected tissue can also provide the basis of a biochemical diagnosis of an infectious disease. For example, humans can make neither RNA replicases nor reverse transcriptase, and the presence of these enzymes are characteristic of specific types of viral infections. The ability of the viral protein hemagglutinin to bind red blood cells together into a detectable matrix may also be characterized as a biochemical test for viral infection, although strictly speaking hemagglutinin is not an enzyme and has no metabolic function.', 'Before the 1950s, between 10 and 20% of males in Tibet were monks.', 'One of the earliest sexual orientation classification schemes was proposed in the 1860s by Karl Heinrich Ulrichs in a series of pamphlets he published privately. The classification scheme, which was meant only to describe males, separated them into three basic categories: dionings, urnings and uranodionings. An urning can be further categorized by degree of effeminacy.', 'males Develop larger hearts', 'This MayHelpExplain athletic performance', 'males Religion monks', 'males Develop larger lungs', 'hemagglutinin Forms detectable matrix', 'males LocatedIn Tibet', 'classification scheme MeantToDescribe males', 'This MayHelpExplain sex differences', 'larger lungs: A facility or building named larger lungs.', 'red blood cells: A geographic location named red blood cells.', 'sex differences: An event named sex differences.']","According to the text, males tend to develop larger hearts and lungs, as well as having more red blood cells.",males,218.29229989089072,930.3347999230027
What physiological change during puberty contributes to increased strength and exercise tolerance?,"['Another set of significant physical changes during puberty happen in bodily distribution of fat and muscle. This process is different for females and males. Before puberty, there are nearly no sex differences in fat and muscle distribution; during puberty, boys grow muscle much faster than girls, although both sexes experience rapid muscle development.', 'In contrast, though both sexes experience an increase in body fat, the increase is much more significant for girls. Frequently, the increase in fat for girls happens in their years just before puberty. The ratio between muscle and fat among post-pubertal boys is around three to one, while for girls it is about five to four.', 'Scientists do not know the exact cause of sexual orientation, but they believe that it is caused by a complex interplay of genetic, hormonal, and environmental influences. They favor biologically-based theories, which point to genetic factors, the early uterine environment, both, or the inclusion of genetic and social factors. There is no substantive evidence which suggests parenting or early childhood experiences play a role when it comes to sexual orientation.', 'The most fit creature would be the one whose pains are well balanced. Those pains which mean certain death when ignored will become the most powerfully felt. The relative intensities of pain, then, may resemble the relative importance of that risk to our ancestors (lack of food, too much cold, or serious injuries are felt as agony, whereas minor damage is felt as mere discomfort).', 'However, this understanding of homosexuality as sexual inversion was disputed at the time, and, through the second half of the twentieth century, gender identity came to be increasingly seen as a phenomenon distinct from sexual orientation. Transgender and cisgender people may be attracted to men, women, or both, although the prevalence of different sexual orientations is quite different in these two populations. An individual homosexual, heterosexual or bisexual person may be masculine, feminine, or androgynous, and in addition, many members and supporters of lesbian and gay communities now see the ""gender-conforming heterosexual"" and the ""gender-nonconforming homosexual"" as negative stereotypes.', 'girls Experience increase in body fat', 'girls Status unmarried', 'girls Participant auditioned before record labels', 'sexual orientation CausedBy genetic influences', 'Scientists Believe sexual orientation', 'girls Participant ceremony', 'creature HasProperty fitness', 'girls Experience muscle development', 'fitness: An entity of type PROPERTY representing fitness.', 'muscle development: An event named muscle development.', 'hormonal influences: A geographic location named hormonal influences.']","During puberty, boys grow muscle much faster than girls, which contributes to increased strength and exercise tolerance.",increased size and capacity of the heart and lungs,172.89629997685552,980.623499955982
Which Beyoncé album released in 2003 made her a worldwide known artist?,"['Their hiatus saw the release of Beyoncé\'s debut album, Dangerously in Love (2003), which established her as a solo artist worldwide, earned five Grammy Awards and featured the Billboard Hot 100 number-one singles ""Crazy in Love"" and ""Baby Boy"".', 'To promote the film, Beyoncé released ""Listen"" as the lead single from the soundtrack album. In April 2007, Beyoncé embarked on The Beyoncé Experience, her first worldwide concert tour, visiting 97 venues and grossed over $24 million.[note 1] Beyoncé conducted pre-concert food donation drives during six major stops in conjunction with her pastor at St. John\'s and America\'s Second Harvest. At the same time, B\'Day was re-released with five additional songs, including her duet with Shakira ""Beautiful Liar"".', 'In September 2010, Beyoncé made her runway modelling debut at Tom Ford\'s Spring/Summer 2011 fashion show. She was named ""World\'s Most Beautiful Woman"" by People and the ""Hottest Female Singer of All Time"" by Complex in 2012. In January 2013, GQ placed her on its cover, featuring her atop its ""100 Sexiest Women of the 21st Century"" list.', 'On January 7, 2012, Beyoncé gave birth to a daughter, Blue Ivy Carter, at Lenox Hill Hospital in New York under heavy security. Two days later, Jay Z released ""Glory"", a song dedicated to their child, on his website Lifeandtimes.com. The song detailed the couple\'s pregnancy struggles, including a miscarriage Beyoncé suffered before becoming pregnant with Blue Ivy.', 'At the 57th Annual Grammy Awards in February 2015, Beyoncé was nominated for six awards, ultimately winning three: Best R&B Performance and Best R&B Song for ""Drunk in Love"", and Best Surround Sound Album for Beyoncé. She was nominated for Album of the Year but the award was won by Beck for his Morning Phase album. In August, the cover of the September issue of Vogue magazine was unveiled online, Beyoncé as the cover star, becoming the first African-American artist and third African-American woman in general to cover the September issue.', 'Beyoncé Performer Tom Ford', 'Beyoncé Performer Super Bowl 50', 'Beyoncé Performer Sasha Fierce', 'Beyoncé Performer hip hop', 'Beyoncé Participant Egyptian pyramids', 'Chris Richards Says Beyoncé', 'Sasha Fierce DescribedAs provocative', 'Sasha Fierce DescribedAs sexy', 'Beyoncé: Companies, agencies, institutions, etc.']","Beyoncé's debut album, Dangerously in Love, released in 2003, established her as a solo artist worldwide.",Dangerously in Love,392.62249995954335,1157.8774999361485
Which singer from Houston became the lead singer of Destiny's Child before releasing Dangerously in Love?,"[""Beyoncé Giselle Knowles-Carter (/biːˈjɒnseɪ/ bee-YON-say) (born September 4, 1981) is an American singer, songwriter, record producer and actress. Born and raised in Houston, Texas, she performed in various singing and dancing competitions as a child, and rose to fame in the late 1990s as lead singer of R&B girl-group Destiny's Child. Managed by her father, Mathew Knowles, the group became one of the world's best-selling girl groups of all time."", 'Their hiatus saw the release of Beyoncé\'s debut album, Dangerously in Love (2003), which established her as a solo artist worldwide, earned five Grammy Awards and featured the Billboard Hot 100 number-one singles ""Crazy in Love"" and ""Baby Boy"".', 'The remaining band members recorded ""Independent Women Part I"", which appeared on the soundtrack to the 2000 film, Charlie\'s Angels. It became their best-charting single, topping the U.S. Billboard Hot 100 chart for eleven consecutive weeks. In early 2001, while Destiny\'s Child was completing their third album, Beyoncé landed a major role in the MTV made-for-television film, Carmen: A Hip Hopera, starring alongside American actor Mekhi Phifer.', ""At age eight, Beyoncé and childhood friend Kelly Rowland met LaTavia Roberson while in an audition for an all-girl entertainment group. They were placed into a group with three other girls as Girl's Tyme, and rapped and danced on the talent show circuit in Houston. After seeing the group, R&B producer Arne Frager brought them to his Northern California studio and placed them in Star Search, the largest talent show on national TV at the time."", 'Her vocal abilities mean she is identified as the centerpiece of Destiny\'s Child. The Daily Mail calls Beyoncé\'s voice ""versatile"", capable of exploring power ballads, soul, rock belting, operatic flourishes, and hip hop. Jon Pareles of The New York Times commented that her voice is ""velvety yet tart, with an insistent flutter and reserves of soul belting"".', 'Beyoncé Performer Tom Ford', 'Beyoncé Performer Super Bowl 50', 'Beyoncé Performer Sasha Fierce', 'Beyoncé Performer hip hop', 'Beyoncé Participant Egyptian pyramids', 'Chris Richards Says Beyoncé', 'Beyoncé Giselle Knowles-Carter BornIn Houston', 'Beyoncé Participant 2011 MTV Video Music Awards', ""Destiny's Child: Destiny's Child was an R&B girl-group that rose to fame in the late 1990s and became one of the world's best-selling girl groups.""]","Beyoncé Giselle Knowles-Carter, who was born and raised in Houston, Texas, rose to fame as the lead singer of Destiny's Child before releasing her debut album, Dangerously in Love.",Beyoncé,288.3095000870526,1454.3920999858528
Who managed the group in which Beyoncé was the lead singer?,"[""On March 30, 2015, it was announced that Beyoncé is a co-owner, with various other music artists, in the music streaming service Tidal. The service specialises in lossless audio and high definition music videos. Beyoncé's husband Jay Z acquired the parent company of Tidal, Aspiro, in the first quarter of 2015."", 'Their hiatus saw the release of Beyoncé\'s debut album, Dangerously in Love (2003), which established her as a solo artist worldwide, earned five Grammy Awards and featured the Billboard Hot 100 number-one singles ""Crazy in Love"" and ""Baby Boy"".', ""At age eight, Beyoncé and childhood friend Kelly Rowland met LaTavia Roberson while in an audition for an all-girl entertainment group. They were placed into a group with three other girls as Girl's Tyme, and rapped and danced on the talent show circuit in Houston. After seeing the group, R&B producer Arne Frager brought them to his Northern California studio and placed them in Star Search, the largest talent show on national TV at the time."", 'To promote the film, Beyoncé released ""Listen"" as the lead single from the soundtrack album. In April 2007, Beyoncé embarked on The Beyoncé Experience, her first worldwide concert tour, visiting 97 venues and grossed over $24 million.[note 1] Beyoncé conducted pre-concert food donation drives during six major stops in conjunction with her pastor at St. John\'s and America\'s Second Harvest. At the same time, B\'Day was re-released with five additional songs, including her duet with Shakira ""Beautiful Liar"".', 'After Hurricane Katrina in 2005, Beyoncé and Rowland founded the Survivor Foundation to provide transitional housing for victims in the Houston area, to which Beyoncé contributed an initial $250,000. The foundation has since expanded to work with other charities in the city, and also provided relief following Hurricane Ike three years later.', 'Beyoncé Performer Tom Ford', 'Beyoncé Performer Super Bowl 50', 'Beyoncé Performer Sasha Fierce', 'Beyoncé Performer hip hop', 'Beyoncé Participant Egyptian pyramids', 'Chris Richards Says Beyoncé', 'Sasha Fierce DescribedAs provocative', 'Sasha Fierce DescribedAs sexy', 'Beyoncé: Companies, agencies, institutions, etc.']","According to the text, R&B producer Arne Frager brought the group to his Northern California studio after seeing them.",Mathew Knowles,202.35470007173717,1394.84339999035
Which artist performed with Coldplay at Super Bowl 50 after posing on the cover of Vogue?,"['She headlined the 2015 Made in America festival in early September and also the Global Citizen Festival later that month. Beyoncé made an uncredited featured appearance on the track ""Hymn for the Weekend"" by British rock band Coldplay, on their seventh studio album A Head Full of Dreams (2015), which saw release in December. On January 7, 2016, Pepsi announced Beyoncé would perform alongside Coldplay at Super Bowl 50 in February.', 'At the 57th Annual Grammy Awards in February 2015, Beyoncé was nominated for six awards, ultimately winning three: Best R&B Performance and Best R&B Song for ""Drunk in Love"", and Best Surround Sound Album for Beyoncé. She was nominated for Album of the Year but the award was won by Beck for his Morning Phase album. In August, the cover of the September issue of Vogue magazine was unveiled online, Beyoncé as the cover star, becoming the first African-American artist and third African-American woman in general to cover the September issue.', 'In September 2010, Beyoncé made her runway modelling debut at Tom Ford\'s Spring/Summer 2011 fashion show. She was named ""World\'s Most Beautiful Woman"" by People and the ""Hottest Female Singer of All Time"" by Complex in 2012. In January 2013, GQ placed her on its cover, featuring her atop its ""100 Sexiest Women of the 21st Century"" list.', 'In August, the couple attended the 2011 MTV Video Music Awards, at which Beyoncé performed ""Love on Top"" and started the performance saying ""Tonight I want you to stand up on your feet, I want you to feel the love that\'s growing inside of me"". At the end of the performance, she dropped her microphone, unbuttoned her blazer and rubbed her stomach, confirming her pregnancy she had alluded to earlier in the evening. Her appearance helped that year\'s MTV Video Music Awards become the most-watched broadcast in MTV history, pulling in 12.4 million viewers; the announcement was listed in Guinness World Records for ""most tweets per second recorded for a single event"" on Twitter, receiving 8,868 tweets per second and ""Beyonce pregnant"" was the most Googled term the week of August 29, 2011.', 'To promote the film, Beyoncé released ""Listen"" as the lead single from the soundtrack album. In April 2007, Beyoncé embarked on The Beyoncé Experience, her first worldwide concert tour, visiting 97 venues and grossed over $24 million.[note 1] Beyoncé conducted pre-concert food donation drives during six major stops in conjunction with her pastor at St. John\'s and America\'s Second Harvest. At the same time, B\'Day was re-released with five additional songs, including her duet with Shakira ""Beautiful Liar"".', 'A Head Full of Dreams NotableWork Coldplay', 'Beyoncé Performer Super Bowl 50', 'Coldplay Performer Super Bowl 50', 'Coldplay Author A Head Full of Dreams', 'Coldplay: Companies, agencies, institutions, etc.']",Beyoncé performed with Coldplay at Super Bowl 50 after appearing on the cover of Vogue.,Beyoncé,249.63110010139644,1005.9809000231326
Which British band performed with Beyoncé at Super Bowl 50?,"['She headlined the 2015 Made in America festival in early September and also the Global Citizen Festival later that month. Beyoncé made an uncredited featured appearance on the track ""Hymn for the Weekend"" by British rock band Coldplay, on their seventh studio album A Head Full of Dreams (2015), which saw release in December. On January 7, 2016, Pepsi announced Beyoncé would perform alongside Coldplay at Super Bowl 50 in February.', 'To promote the film, Beyoncé released ""Listen"" as the lead single from the soundtrack album. In April 2007, Beyoncé embarked on The Beyoncé Experience, her first worldwide concert tour, visiting 97 venues and grossed over $24 million.[note 1] Beyoncé conducted pre-concert food donation drives during six major stops in conjunction with her pastor at St. John\'s and America\'s Second Harvest. At the same time, B\'Day was re-released with five additional songs, including her duet with Shakira ""Beautiful Liar"".', 'At the 57th Annual Grammy Awards in February 2015, Beyoncé was nominated for six awards, ultimately winning three: Best R&B Performance and Best R&B Song for ""Drunk in Love"", and Best Surround Sound Album for Beyoncé. She was nominated for Album of the Year but the award was won by Beck for his Morning Phase album. In August, the cover of the September issue of Vogue magazine was unveiled online, Beyoncé as the cover star, becoming the first African-American artist and third African-American woman in general to cover the September issue.', 'Their hiatus saw the release of Beyoncé\'s debut album, Dangerously in Love (2003), which established her as a solo artist worldwide, earned five Grammy Awards and featured the Billboard Hot 100 number-one singles ""Crazy in Love"" and ""Baby Boy"".', 'The remaining band members recorded ""Independent Women Part I"", which appeared on the soundtrack to the 2000 film, Charlie\'s Angels. It became their best-charting single, topping the U.S. Billboard Hot 100 chart for eleven consecutive weeks. In early 2001, while Destiny\'s Child was completing their third album, Beyoncé landed a major role in the MTV made-for-television film, Carmen: A Hip Hopera, starring alongside American actor Mekhi Phifer.', 'Beyoncé Performer Tom Ford', 'Beyoncé Performer Super Bowl 50', 'Beyoncé Performer Sasha Fierce', 'Beyoncé Performer hip hop', 'Beyoncé Participant Egyptian pyramids', 'Chris Richards Says Beyoncé', 'Beyoncé Participant 2011 MTV Video Music Awards', 'Beyoncé InfluencedBy hip hop era', 'Revel Presents: Beyoncé Live: An event named Revel Presents: Beyoncé Live.']",Beyoncé performed alongside Coldplay at Super Bowl 50.,Coldplay,284.16819986887276,901.8098001834005
